Group,Subject,EEG Band,Lemon Power,Rose Power,Difference (Rose - Lemon)
AD,7,Theta (4–8 Hz),190.39202672394538,411.10431534025753,220.71228861631215
AD,7,Alpha (8–13 Hz),80.66549782123401,148.13340543063302,67.467907609399
AD,7,Beta (13–30 Hz),39.42892567595646,46.348083657713616,6.919157981757159
AD,7,Gamma (30–40 Hz),7.244665819568688,7.601601650749631,0.35693583118094274
AD,8,Delta (1–4 Hz),20.873693077692618,8.763156882379718,-12.1105361953129
AD,8,Theta (4–8 Hz),9.92771684441024,3.929787613093328,-5.9979292313169115
AD,8,Alpha (8–13 Hz),2.308431939572335,0.7060392384741188,-1.6023927010982164
AD,8,Beta (13–30 Hz),0.34369030795280325,0.23042458638016305,-0.1132657215726402
AD,8,Gamma (30–40 Hz),0.06805760245044454,0.047014238061102095,-0.021043364389342442
AD,9,Delta (1–4 Hz),154205.754224912,360051.24844629987,205845.49422138787
AD,9,Theta (4–8 Hz),13048.411141438764,26401.47683563174,13353.065694192976
AD,9,Alpha (8–13 Hz),1285.415621692757,979.5271925993493,-305.8884290934077
AD,9,Beta (13–30 Hz),98.44719802092287,96.21892974777245,-2.2282682731504195
AD,9,Gamma (30–40 Hz),9.69443970551684,2.413854087529006,-7.2805856179878345
AD,10,Delta (1–4 Hz),13871.889460416709,1355.2524685607746,-12516.636991855934
AD,10,Theta (4–8 Hz),2798.36947105052,442.4109872070591,-2355.958483843461
AD,10,Alpha (8–13 Hz),592.0158187511149,66.71098548172651,-525.3048332693884
AD,10,Beta (13–30 Hz),97.56601251941757,6.435401755808835,-91.13061076360873
AD,10,Gamma (30–40 Hz),12.17390239548618,0.4510811688038368,-11.722821226682344
AD,11,Delta (1–4 Hz),192060188.45393625,8597.840465201285,-192051590.61347106
AD,11,Theta (4–8 Hz),11655826.250094086,561.0042497875464,-11655265.245844299
AD,11,Alpha (8–13 Hz),4775737.661082415,90.48545644189102,-4775647.175625973
AD,11,Beta (13–30 Hz),1038532.7562526433,4.378860605001813,-1038528.3773920384
AD,11,Gamma (30–40 Hz),110859.13731949124,0.27253857931927217,-110858.86478091193
AD,12,Delta (1–4 Hz),0.11562391370534897,0.11129053682088852,-0.004333376884460449
AD,12,Theta (4–8 Hz),0.0828329548239708,0.08507006615400314,0.0022371113300323486
AD,12,Alpha (8–13 Hz),0.05690918117761612,0.0620989128947258,0.00518973171710968
AD,12,Beta (13–30 Hz),0.05673724785447121,0.05694950371980667,0.00021225586533546448
AD,12,Gamma (30–40 Hz),0.05006325617432594,0.046773459762334824,-0.0032897964119911194
AD,13,Delta (1–4 Hz),7.806179046630859,0.12439991533756256,-7.681778907775879
AD,13,Theta (4–8 Hz),4.450209617614746,0.06054499372839928,-4.389664649963379
AD,13,Alpha (8–13 Hz),3.6477088928222656,0.042801856994628906,-3.6049070358276367
AD,13,Beta (13–30 Hz),2.534891366958618,0.027725184336304665,-2.5071661472320557
AD,13,Gamma (30–40 Hz),1.7683526277542114,0.014139040373265743,-1.754213571548462
